account	justificar
grow out of	surgir de
grow up	crecer
grow up	hacer se mayor
grow up	madurar
hammer out	lidiar con
hammer out	lidiar
hand round	repartir
hand round	ofrecer
hand round	pasar
hand back	devolver
hand down	heredar de
hand down	legar
hand in	entregar se
hand in	entregar
hand in	rendir se
hand in	presentar
hand in	entregar
hand in	notificar
hand on	pasar
hand on	transmitir
hand on	transferir
hand out	repartir
hand out	distribuir
hand over	entregar
hand over	dar
hand over	transferir
hand over	ceder
hang around	esperar
hang around	juntar se en
hang around	estar dando vueltas
hang around	merodear por
hang around	frecuentar
hang back	quedar se atrás
hang back	vacilar
hang down	colgar
hang down	marchitar se
hang in	perseverar
hang in	no rendir se
hang on	aguardar
hang on	esperar
hang on	poner atención a
hang out	colgar
hang out with	juntar se con
hang over	flotar sobre
hang over	adueñar se de
hang up	colgar
hang up	cortar
hang up	parar
hang up	detener
have out	tratar un asunto
head for	dirigir se hacia
head for	tirar para
head for	apuntar hacia
head off	salir
head off	ir se
head off	desviar
head out	partir
head out	marchar se
head up	liderar
hear about	enterar se de
hear from	oír de
hear from	tener noticias de
hear from	escuchar de
hear from	saber de
hear from	enterar se de
hear of	enterar se de
hear of	saber de
hear out	escuchar todo de
heat up	calentar
heat up	calentar se
heat up	animar se
heat up	caldear se
help along	ayudar a
help out	ayudar a
hem in	acorralar a
hem in	asediar a
hem in	cercar a
hide away	esconder
hide away	esconder se
hit back	devolver el golpe a
hit on	seducir a
hide out	ocultar se
hide out	esconder se
hold against	achacar 
hold against	achacar a
hold against	reprochar 
hold against	reprochar a
hold against	recriminar 
hold against	recriminar a
hold back	callar se
hold back	retener
hold back	refrenar a
hold back	refrenar  
hold back	frenar a
hold back	frenar
hold back	detener a
hold back	detener
hold back	contener
hold back	contener a
hold back	reprimir a
hold back	reprimir
hold back	contener se
hold back	reprimir se
hold down	mantener
hold down	retener
hold down	sujetar a
hold down	sujetar
hold down	aguantar
hold down	tener
hold forth	no parar de hablar
hold off	aguantar se sin
hold off	abstener se
hold off	frenar a
hold off	frenar
hold off	demorar
hold on to	agarrar se a
hold on to	aferrar se a
hold on to	asir se a
hold on to	asir se de
hold on to	agarrar se de
hold on	no colgar
hold on	no rendir se
hold on	resistir
hold on	aguantar
hold on	esperar
hold onto	conservar
hold onto	mantener
hold out	tender
hold out	retener
hold out	aguantar
hold out	durar
hold out	resistir se
hold out against	resistir ante
hold out against	resistir se ante
hold out against	oponer se a
hold out for	esperar por
hold out on	retener
hold over	aplazar
hold over	posponer
hold to	hacer cumplir
hold up	sostener
hold up	soportar
hold up	sujetar
hold up	sustentar
hold up	retrasar
hold up	demorar
hold up	aguantar
hold up	resistir
hold with	concordar con
hook up	enganchar
hook up	conectar
hook up	empezar a salir
hook up	follar
hunt down	cazar a
hunt down	perseguir a
hurry up	apurar se
hurry up	dar se prisa
hurry up	apurar a
identify with	identificar se con
identify with	identificar con
impose on	imponer se a
impose on	molestar a 
impose on	incomodar a
impose on	importunar a
improve on	mejorar
indulge in	permitir se
insist on	insistir en
insist on	exigir
insist on	demandar
instil in	inculcar en
interest in	interés en
interest in	interés por
interest in	interesar se
interfere with	manosear a
interfere with	manosear
interfere with	tocar a
interfere with	tocar
invest in	invertir en
invest in	apostar fuerte por
iron out	planchar
iron out	resolver
iron out	solucionar
itching for	morir se por
jack in	pirar se de
jack off	masturbar se
jack up	subir
jack up	inflar
jam into	forzar en
jam up	obstruir
jam up	obstaculizar
jam up	atascar
jam up	bloquear  
jam up	bloquear se
jam up	tapar se
jazz up	realzar
jerk around	marear la perdiz con
join in	unir se
join in	participar
join in	apuntar se
join up	unir
join up 	juntar
join up 	conectar
join up to	apuntar se a
join up to	inscribir se en
join with	acompañar a
join with	acompañar
join in with	participar en
join in with	apuntar se a
jot down	anotar
jot down	apuntar
jot down on	anotar en
jot down on	apuntar en
juice up	dar alegría
juice up	dar vida
jumble up	alterar
jumble up	revolver
jumble up	mezclar
jumble up	confundir
jumble up	desordenar
jumble up with	mezclar con
jump in	zambullir se
jump in	tirar se
jump in	meter se
jump in	meter se en
jump in	sumergir se en
jump in	involucrar se en
jump into	meter se a
jump into	tirar se a
jump into	meter se en
jump into	involucrar se en
jump on	saltar sobre
jump up	saltar
jut out	sobresalir
jut out from	sobresalir de
keep at	seguir con
keep at	persistir con
keep at	perseverar con
keep away	mantener la distancia
keep away	no acercar se
keep back	reservar
keep back	guardar
keep back	retener
keep back	mantener lejos a
keep back	mantener lejos
keep back	mantener se lejos
keep down	limitar a
keep down	limitar
keep down	sujetar a
keep down	sujetar
keep down	reprimir a
keep down	reprimir
keep down	controlar
keep from	abstener se de
keep from	contener se de
keep from	aguantar se de
keep from	proteger de
keep from	alejar de
keep in with	mantener se en contacto
keep in	contener
keep in	reprimir
keep in	tragar se
keep off	no pisar
keep off	no entrar en
keep on	seguir
keep on	persistir en
keep on	insistir en
keep on	no quitar se
keep out	no entrar
keep out	no dejar entrar a
keep out	no dejar entrar
keep out	no dejar pasar a
keep out	no dejar pasar
keel over	colapsar
keel over	desfallecer
keep to	mantener se en   
keep to	permanecer en
keep to	seguir
keep to	atener se a
keep to	ajustar se a
keep to	ceñir se a
keep together	no separar se
keep under	vigilar a
keep under	vigilar
keep under	velar
keep under	cubrir
keep up with	estar al tanto de
keep up with	estar actualizado sobre
keep up with	mantener el ritmo
keep up	mantener
keep up	seguir con
keep up	aguantar el ritmo
keep up	mantener al tanto
key in	teclear
kick against	oponer se a
kick around	proponer
kick back	relajar se
kick in	notar se
kick in	poner
kick off	sacar
kick off	arrancar
kick off	empezar
kick off	comenzar
kick off	inaugurar se
kick off	iniciar se
kick off	lanzar se  
kick over	patear
kick out	echar a
kick out	expulsar a
kick out	echar
kick out	expulsar
kid around	bromear
kid around	joder
kid around	corretear
kill off	exterminar a
kill off	exterminar
kill off	erradicar
kill off	acabar con
kill off	terminar con
kneel down	arrodillar se
knock about	golpear a
knock about	golpear
knock about	pegar a
knock about	maltratar a
knock about	maltratar
knock about	considerar
knock around	machacar a
knock around	machacar
knock around	golpear a
knock around	golpear
knock around	debatir
knock around	deliberar
knock around	considerar
knock around	discutir
knock back	bloquear a
knock back	bloquear
knock back	bajar se
knock back	mamar se
knock back	sacar a
knock back	soplar
knock down	derribar
knock down	demoler
knock down	abaratar
knock down	recortar
knock down	liquidar
knock down	atropellar a
knock down	atropellar
knock down	tumbar
knock down	tirar
knock off	bajar
knock off	salir
knock off	pirar se
knock off	copiar
knock off	acabar
knock off	terminar
knock out	noquear
knock out	tumbar
knock over	arrollar
knock over	atropellar
knock over	volcar
knock over	tirar
knock over	tumbar
knock together	hacer de prisa
knock up	avisar
knock up	preñar
knock up	preñar se
knuckle down 	apretar
knuckle down to	volcar se a
knuckle down to	esmerar se
knuckle down to	aplicar se
lash out	insolentar se
laugh off	reír se ante
launch into	lanzar se de lleno
lay aside	aparcar
lay aside	posponer
lay down	rendir se
lay down	poner
lay down	establecer
lay down	imponer
lay down	echar se
lay down	tumbar se
lay in	almacenar
lay into	atacar a
lay off	prescindir de
lay off	despedir
lay off	echar
lay off	no molestar
lay off	no fastidiar
lay off	no molestar a
lay off	no fastidiar a
lay on	enlucir
lay on	aplicar
lay on	poner sobre
lay out	componer
lay out	disponer
lay out	ordenar
lay out	desembolsar
lay out	poner se con
lay out	exponer
lay out	noquear
lay out	colocar
lay over	descansar
lay up	almacenar
laze around	holgazanear
lead on to	llevar a
lead on to	traer consigo
lead on to	suponer
lead up to	anteceder
lead up to	llevar a
lead up to	preceder a
lead up to	preparar
lead up to	proponer
learn off	aprender de memoria
leave behind	dejar
leave behind	olvidar
leave behind	dejar atrás
leave behind	aplastar
leave off	dejar de
leave off	acabar
leave off	terminar
leave out	omitir
leave out	excluir
leave out	obviar
let down	decepcionar
let down	tirar
let down	alargar
let down	desinflar
let go of	soltar
let go of	dejar
let in	dejar entrar
let off	dejar en libertad
let on	decir
let on	descubrir
let out	dejar salir
let out	soltar
let out	hacer salir
let out	liberar
let out	agrandar
let out	decir
let out	escupir
let out	escapar se
let up	parar
let up	aflojar
level with	sincerar se con
lie down	acostar se
lie down	tumbar se
lie down	echar se
lift up	alzar
lift up	elevar
lift up	levantar
lift up	subir
light up	iluminar
light up	iluminar se
light up	encender
lighten up	relajar se
line up	alinear
line up	arreglar
line up	programar
live down	superar la vergüenza
live for	vivir para
live off	vivir de
live on	mantener se
live on	sostener se
live on	vivir de
live on	pasar
live on	perdurar
live on	pervivir
live on	sobrevivir
live together	convivir
live up to	igualar
live with	convivir
live with	vivir con
live with	sobrellevar
lock up	enchironar
lock up	encerrar
long for	ansiar
long for	desear
log in	iniciar sesión
log in	abrir sesión
log on	conectar se
log on	iniciar sesión
log onto	entrar en
log onto	acceder a
log off	cerrar sesión
log off	finalizar sesión
log out	desloguear se
log out	cerrar sesión
look after	velar por
look after	cuidar de
look after	cuidar
look after	ocupar se de
look after	atender
look after	preocupar se por
look after	vigilar
look ahead	mirar adelante
look at	mirar
look back	mirar atrás
look back	rememorar
look back on	recordar
look down on	otear
look down on	vislumbrar
look down on	menospreciar
look down on	despreciar
look for	esperar
look for	buscar
look forward to	ansiar
look forward to	anhelar
look in on	pasar por
look into	investigar
look into	revisar
look into	mirar
look into	estudiar
look into	evaluar
look into	ver
look like	parecer se
look on	mirar
look on	observar
look on	considerar
look onto	dar a
look out	tener cuidado
look out for	vigilar
look out for	observar
look out for	cuidar
look out for	ocupar se de
look over	inspeccionar
look over	repasar
look over	mirar por encima
look round	mirar alrededor
look round	registrar
look round	reconocer
look round	chequear
look through	mirar por
look through	buscar entre
look through	revisar
look through	registrar entre
look through	ojear
look to	volver se hacia
look to	mirar
look to	recurrir
look to	buscar
look up to	admirar
look up to	respetar
look up to	admirar a
look up	mejorar
look up	buscar
lose out	salir perdiendo
mail out	despachar
major in	especializar se en
make for	dirigir se hacia
make for	conducir a
make for	dar lugar a
make into	convertir en
make into	transformar en
make off	escapar 
make off	huir
make off with	escapar con
make off with	robar se
make out	liar se
make out	pretender
make out	fingir
make over	redecorar
make over	remodelar
make over	renovar
make over	ceder
make over	transferir
make over	traspasar
make over	transformar
make up for	compensar
make up for	superar
make up for	reparar
make up to	congraciar se con
make up to	congraciar
make up to	compensar
make up to	halagar a
make up	maquillar se
make up	inventar
make up	preparar
make up	constituir
make up	formar
make up	armar
make up	montar
make up	reconciliar se
map out	planear
mark down	anotar
mark down	apuntar
mark down	rebajar
mark off	demarcar
mark off	separar
mark off	delimitar
mark out	marcar
mark out	señalar
mark up	marcar
mark up	subir el precio
match up	emparejar
match up	hacer coincidir
match up	comparar se
match up to	competir
match up to	rivalizar
max out	agotar
max out	exprimir
measure up	servir
measure up	medir
measure up	evaluar
meet up	encontrar se
meet up	quedar
meet up	reunir se
meet up	juntar se
meet up with	ver se
meet up with	encontrar se
meet up with	reunir se con
meet with	encontrar se con
meet with	recibir
meet with	tener
meet with	ocurrir
meet with	suceder
mess around	trastear
mess around	enredar
mess around with	enredar con
melt down	derretir
melt down	fundir
melt down	derretir se
melt down	fundir se
miss out	perder se
miss out	perder
miss out on	perder se
miss out on	dejar pasar
mix up	mezclar
mix up	confundir
mix up	preparar
move out	mudar se
mock up	bosquejar
mop up	limpiar
mop up	hacer se cargo
mount up	amontonar se
mount up	acumular se
mount up	juntar se
mount up	apilar se
mouth off	jactar se de
mouth off	fanfarronear se
move in	asentar se
move in	instalar se
move in	mudar se
move in	meter se
move in	intervenir
move in	involucrar se
move in on	lanzar se sobre
move in on	abalanzar se sobre
move in on	entrometer se en
move in on	meter se en
move in on	insinuar se
move into	mudar se a
move on	establecer se
move over	mover el culo
muck about	payasear
muck about	tontear
muck around	payasear
muck around	tontear
muck up	ensuciar
muck up	cagar la
muddle through	apañar se
muddle through	arreglar se
mull over	sopesar
mull over	pensar
mull over	rumiar
muscle in	meter se a la fuerza
muscle in on	meter se
muscle in on	introducir se
nag away at	preocupar
nag away at	atormentar
nail down	clavar
nail down	determinar
nail down	precisar
nail up	clavar
name after	llamar se por
narrow down	reducir
narrow down	restringir
nibble away at	mordisquear
nip off	recoger
nip off	coger
nip off	sacar
nip off	quitar
nip off	salir
nip off 	ir corriendo
nod off	cabecear
nose around	husmear
nose around	fisgonear
nose around	meter se
nose around	fisgar
notch up	acumular
notch up	juntar
notch up	aumentar
notch up	incrementar
note down	anotar
note down	tomar nota de
note down	apuntar
number among	contar entre
object to	objetar
object to	no estar de acuerdo con
occur to	suceder le a
offer up	sacrificar
offer up	sacrificar a
open out	desplegar
open out	abrir
open out onto	dar a
open out to	abrir se
open out to	desplegar se
open up	abrir se
open up	abrir
open up	sincerar se
open up	confiar se a
opt in	decidir tomar parte en
opt in	apuntar se en
opt out	optar por no
opt out of	salir se de
opt out of	no meter se en
order about	dar orden
order around	mandar
order in	pedir
order in	encargar
order out	pedir por teléfono
owe to	deber
own up	reconocer
own up	admitir
own up to	admitir
own up to	confesar
pan out	resultar
pass away	ir se
pass away	morir
pass away	fallecer
pass away	expirar
pass by	pasar por
pass by	ignorar
pass down	legar
pass down	transmitir
pass for	pasar por
pass off	transcurrir
pass off	pasar
pass on	pasar
pass on	dejar
pass on	contagiar
pass out	desmayar se
pass out	graduar se
pass out	repartir
pass over	ignorar
pass over	obviar
pass over	eludir
pass over	sobrevolar
pass over	atravesar
pass through	cruzar
pass through	atravesar
pass through	traspasar
pass up	desaprovechar
pass up	desperdiciar
pass up	renunciar
pay back	devolver
pay back	pagar
pay back	reembolsar
pay back	vengar se
pay back	contestar
pick at	meter se con
pick at	criticar a
pick off	cargar se a
pick off	derribar a
pick on	meter se con
pick on	acosar
pick on	atormentar
pick out	elegir
pick out	escoger
pick out	seleccionar
pick out	identificar
pick out	reconocer
pick over	elegir
pick over	elegir entre
pick over	seleccionar
pick up on	percatar se
pick up on	enterar se
pick up on	pillar
pick up on	captar
pick up on	dar se cuenta
pick up on	retomar
pick up	recoger a
pick up	buscar a
pick up	recoger
pick up	retirar
pick up	levantar
pick up	levantar a
pick up	ganar a
pick up	ligar con
pick up	conquistar a
pick up	mejorar
pick up	remontar
pick up	repuntar
pick up	contestar
pick up	atender
pick up	adquirir
pick up	aprender
pick up	agarrar
pitch up on	inclinar se por
pitch up on	elegir
pitch up on	escoger
pitch forward	caer de cabeza
pitch in	cooperar
pitch in	contribuir
pitch in	ayudar
pitch into	meter se con
pitch into	agredir verbalmente a
pitch into	insultar a
pitch into	putear a
pitch into	arremeter contra
pitch into	atacar
point out	mostrar
point out	señalar
point out	puntulizar
point out	remarcar
pull about	maltratar
pull about	manosear
pull about	estropear
pull along	arrastrar
pull along	arrastrar se
pull apart	desarmar
pull apart	desmontar
pull apart	despedezar
pull apart	demoler
pull apart	romper
pull away	alejar se
pull away	apartar se
pull away	alejar se de
pull away	apartar se de
pull away	dejar atrás
pull away	adelantar se
pull away	sacar ventaja
pull away	retirar
pull back	descorrer
pull back	retirar
pull down	cerrar
pull down	bajar
pull in	estacionar
pull in	aparcar
pull in	detener se
pull off	quitar se
pull off	sacar se
pull off	arrancar se
pull off	sacar adelante
pull off	salir
pull on	poner se
pull on	tirar de
pull on	tironear
pull on	estirar
pull out	sacar
pull out	extraer
pull out	arrancar
pull out	partir
pull out	ir se
pull out	retirar se
pull out	abrir se
pull out	salir se
pull out	retirar se de
pull out	salir se de
pull out	abrir se de
pull out	retirar
pull over	parar
pull over	detener
pull round	reanimar
pull round	reponer se
pull round	reanimar se
pull through	reponer se
pull through	recuperar se
pull up	detener se
pull up	frenar
pull up	detener
pull up	levantar vuelo
pull up	echar la bronca
put across	expresar
put across	comunicar
put aside	apartar
put aside	poner a un lado
put aside	dejar a un lado
put aside	rechazar
put back	postergar
put back	posponer
put back	colocar de nuevo
put back	guardar
put by	apartar
put down	hablar mal de
put down	rebajar
put down	menospreciar
put down	despellejar
put down	ningunear
put down	sacrificar
put down	poner a dormir
put down	apuntar
put down	anotar
put down	poner
put down	escribir
put forth	proponer
put forward	ofrecer se
put forward	postular se
put forward	proponer
put in	poner en
put in	introducir en
put in	meter en
put in	aportar
put in	contribuir
put in	poner
put in	trabajar
put in	currar
put in	interponer
put off	desalentar
put off	postergar
put off	posponer
put off	dejar para
put off	causar rechazo
put off	retrasar
put off	aplazar
put off	disuadir
put on	poner se
put on	simular
put over	exponer se
put out	incomodar
put out	apagar
put out	ir se a la cama
put through	hacer pasar
put through	aprobar
put through	pasar a
put through	comunicar a
put through	someter a
put together	encajar
put together	juntar
put together	reunir
put up with	tolerar
put up with	aguantar
put up with	aceptar
put up with	conformar se con
put up with	resignar se a
put up	colgar
put up	desplegar
put up	subir
put up	levantar
put up	hospedar a
put up	alojar a
put up	aportar
put up	contribuir
put upon	abusar
put upon	molestar a
put upon	incomodar a
quarrel with	discutir con
queue up	hacer cola
queue up	alinear se
quieten down	acallar
rake in	amasar
rally round	solidarizar se
reach out	contactar
reach out	localizar
reach out	llegar a
read out	leer en voz alta
read out	amonestar
read up on	investigar
read up on	estudiar
read up on	documentar se
read up on	informar se
refer to	consultar
refer to	tratar se de
refer to	referir se a
reflect on	reflexionar
reflect on	recaer
reflect on	considerar
reflect upon	reflexionar
rely on	confiar
remind of	recordar a
remind of	recordar
resign yourself to	aceptar
resign yourself to	rendir se ante
resort to	recurrir a
resort to	acudir a
resort to	echar mano de
resort to	echar mano a
result in	conllevar
result in	resultar
result in	resultar en
result in	dar como resultado
result in	tener como resultado
result in	dar lugar a
return to	retomar
return to	volver
return to	retornar
revert to	volver a
revert to	retomar
revert to	regresar a
revert to	revertir
ride about	pasear a caballo
ride about	pasear en coche
ride about	pasear en bicicleta
ride away	alejar se
ride away	ir se
ride away	partir
ride back	volver a caballo
ride back	volver en bicicleta
ride on	montar en
ride on	jugar se
ride on	estar en juego
ride out	capear
ring back	volver a llamar
ring up	telefonear a
ring up	llamar por teléfono a
ring up	marcar
rip off	arrancar
rip off	timar
rip off	estafar
rip off	tangar
rip up	romper
rip up	despedazar
rip up	rasgar
roll out	dar a conocer
roll out	lanzar
roll out	introducir
roll over	pasar por encima de
roll over	dar se vuelta
roll over	pasar
roll up at	llegar a
roll up to	llegar a
roll up	llegar
roll up	enrollar se
roll up	enrollar
root out	extirpar
root out	erradicar
rope in	agarrar a
rope in	meter a
rope in	enganchar a
rough up	dar una paliza a
round down	redondear
round off	completar
round off	acabar
round off	rematar
round off	redondear
round on	volver se contra
round on	volver se en contra de
round out	redondear
round out	completar
round up	juntar
round up	arrear
round up	reunir
round up	reunir a
round up	redondear
rub off on	caer sobre
rub off on	contagiar se en
rub off	borrar se
rub off	desaparecer
rub off	quitar se
rub off	pegar se
rub off	contagiar se
rub off	quitar
rub off	sacar
rub off	refregar
rub off	restregar
rub off	limpiar
rub out	borrar
rub out	limpiar a
rule out	descartar
run acros	cruzar se
run acros	cruzar se con
run acros	encontrar
run acros	tropezar con
run after	perseguir
run after	perseguir a
run up against	tropezar con
run away with	llevar se
run away with	fugar se con
run away with	dejar se llevar por
run away with	comer se
run away	huir
run away	escapar
run counter to	ir en contra de
run down	desprestigiar
run down	atropellar
run into	chocar
run into	chocar con
run into	tropezar con
run into	tropezar se con
run into	encontrar se con
run into	encontrar
run into	topar se con
run off with	escapar se con
run off	salir corriendo
run off	huir
run off	echar a
run off	correr
run off	imprimir
run off	sacar
run off	correr por
run off	deslizar se
run off	deslizar se por
run off	caer por
run on	seguir
run on	alargar se
run on	andar a
run out of	quedar se sin
run out	salir corriendo
run out	acabar se
run out	agotar se
run out	quedar se sin
run out on	abandonar
run over	atropellar
run over	atropellar a
run over	arrollar
run over	arrollar a
run through	ensayar
run through	repasar
run to	costar
run to	llegar a
run to into	topar se con
run to into	tropezar con
run to into	encontrar
run to into	encontrar se con
run up	coger carrerilla
run up against	tropezar con
rush into	apurar se
rush off	ir se volando
rush off	salir pitando
save up	ahorrar
save up	guardar
save up	acumular
screw up	arruinar
screw up	fregar
screw up	cagar
screw up	meter la pata
screw up	cagar la
screw up	joder la
screw up	cargar se
scope out	averiguar
seal off	acordonar
see about	pensar
see about	considerar
see about	encargar se
see off	correr a
see off	despedir a
see out	despedir a
see through	ver a través de
see through	calar
see through	adivinar la intención de
see through	llevar a cabo
see through	alcanzar
see to	encargar se de
see to	ocupar se de
sell off	vender
sell off	rematar
sell off	liquidar
sell out	agotar se
sell out	traicionar se
sell out	liquidar
send back	devolver
send for	ir a buscar a
send for	mandar a buscar a
send for	hacer traer
send off	enviar
send off	mandar
send off	despachar
set about	poner se a
set about	empezar a
set about	comenzar a
set about	atacar a
set against	poner en contra de
set against	contraponer con
set against	contrastar con
set against	comparar con
set apart	distinguir
set apart	diferenciar
set apart	guardar
set apart	separar
set aside	interrumpir momentáneamente
set aside	dejar a un lado
set aside	aparcar
set aside	apartar
set back	complicar a
set back	obstaculizar a
set back	retrasar
set back	posponer
set down	dejar sobre
set down	dejar encima de
set down	poner sobre
set down	dejar por escrito
set down	anotar
set down	poner por escrito
set forth	describir
set forth	partir
set forth	poner se en camino
set in	establecer se
set in	insertar se
set off	salir
set off	partir
set off	activar
set off	disparar
set off on	salir hacia
set off on	salir para
set on	atacar
set on	agredir
set out	partir
set out	disponer se a
set out	presentar
set out	exponer
set out	precisar
set to	poner se a
set to	empeza a
set up	instalar
set up	fundar
set up	armar
set up	montar
set up	tender una trampa a
settle back	relajar se
settle down	acomodar se
settle down	tranquilizar se
settle down	estabilizar se
settle down	asentar se
settle down	establecer se
settle for	conformar se con
settle for	dejar en
settle in	sentir se a gusto
shake off	sacudir
shake off	sacar se de encima
shake off	quitar se de encima
shake off	librar se de
shake up 	agitar
shake up	sacudir
shake up	afectar
shake up	sacudir a
shake up	revolucionar
shake up	reformar
shake up	reorganizar
shoot up	disparar
shoot up	disparar se
shoot up	pegar el estirón
shoot up	pinchar se
shoot up	chutar se
shoot up	acribillar
shoot up	llenar de plomo
shoot up	meter se por la vena
shop around	comparar precio
shop around	tratar de vender
show off	fardar
show off	fanfarronear
show off	presumir
show off	jactar se
show off	resaltar
show up	revelar
show up	aparecer
show up	asomar
show up	asomar se
show up	exponer
show up	hacer resaltar
shut down	cerrar
shut down	parar se
shut down	dejar de funcionar
shut down	cerrar se a escuchar
shut down	cerrar se en banda
shut down	apagar
shut off	cortar
shut out	dejar afuera
shut out	no escuchar
shut out	no escuchar a
shut out	rechazar
shut out	excluir
shut out	rechazar a
shut out	excluir a
shut out	bloquear
shut up	callar se
shut up	cerrar
sign in	firmar
sign in	registrar se
sign up	inscribir se
sign up	apuntar se a
sign up	anotar se a
sign up	inscribir a
sign up	apuntar
sign up	anotar se para
sign up	apuntar se
sign up	unir se
sit back	relajar se
sit back	recortar se
sit back	sentar se
sit back	inclinar se
sit back	reclinar se
sit down	sentar se
sit in	asistir
sit in	hacer una sentada
sit in	asistir como oyente
sit in on	asistir
sit in on	ir de oyente
sit in on	venir de oyente
sit up	reacomodar se
sit up	poner se en guardia
size up	evaluar
size up	evaluar a
size up	estudiar
size up	estudiar a
size up	medir
size up	medir a
sleep together	acostar se
sleep together	dormir juntos
sleep with	encamar se con
sleep with	dormir con
sleep over	quedar se a dormir
slip away	escurrir se
slip away	escabullir se
slip away	pasar
slip away	esfumar se
slip away	desvanecer se
slip away	desaparecer
slip away	apagar se
slip away	ir se
slip by	escurrir se
slip into	poner se
slip into	calzar se
slip into	deslizar se
slip into	transformar se
slip off	quitar se
slip off	descalzar se
slip off	escabullir se
slip off	caer se
slip off	resbalar se
slip on	poner se
slip on	tirar se encima
slip on	resbalar en 
slip on	resbalar con
slip out of	deshacer se de
slip out of	quitar se
slip out	escaparse
slip up	equivocar se
slip up	errar
slip up	pifiar
slow down	desacelerar
slow down	disminuir la velocidad
smell of	oler a
snap up	volar
snap up	agotar se
sober up	recobrar la sobriedad
sober up	despejar se
sober up	desembriagar se
sober up	espabilar se
sober up	despabilar se
sober up	espabilar a
sort out	ordenar
sort out	disponer
sort out	preparar
sort out	planear
speak out	expresar se
speak out	hablar
speak out against	denunciar
speak up	elevar la voz
speak up	hablar más alto
speak up for	defender
speed up	apurar
speed up	meter prisa a
speed up	apresurar
speed up	apurar se
speed up	dar se prisa
speed up	acelerar se
spell out	deletrear
spell out	explicar en detalle
spread out	estirar
spread out	extender
spread out	echar se
spread out	tumbar se
spread out	despatarrar se
spread out	separar se
spread out	dispersar se
stamp out	extirpar
stamp out	aniquilar
stand aside	apartar se
stand back	apartar se
stand by	apoyar
stand by	estar con
stand down	renunciar
stand down	retirar se
stand down	dimitir
stand down	abandonar el estrado
stand down	salir de servicio
stand for	significar
stand for	representar
stand for	simbolizar
stand for	tolerar
stand for	apoyar
stand for	defender
stand in for	sustituir
stand in for	substituir
stand in for	suplir
stand in for	reemplazar
stand in for	sustituir a
stand in for	substituir a
stand in for	representar a
stand out	destacar
stand out	destacar se
stand out	sobresalir
stand out	resaltar
stand over	supervisar
stand over	supervisar a
stand over	vigilar a
stand up for	defender
stand up for	defender se
stand up for	apoyar
stand up to	hacer frente a
stand up to	resistir 
stand up to	aguantar
stand up to	resistir a
stand up to	aguantar a
stand up	poner se de pie
stand up	levantar se
stand up	parar se
stand up	levantar
stand up	parar
stand up	plantar a
start off	iniciar se
start off	comenzar
start off	empezar
start off	iniciar
start out	empezar
start out	comenzar
start up	prender
start up	encender
start up	arrancar
start up	hacer arrancar
start up	emprender
start up	abrir
start up	dar inicio a
start up	iniciar
start up	empezar
stay away from	alejar se de
stay up	quedar se en pie
step down	bajar se
step down	dimitir
step down	renunciar
step up	reforzar
step up	incrementar
step up	redoblar
step up	ofrecer se
step up	dar un paso adelante
stick out	levantar
stick out	alzar
stick out	proyectar
stick out	extender
stick out	sobresalir
stick out	destacar
stick out	resaltar
stick out	aguantar se
stick to	apegar se
stick to	atener se
stick to	permanecer leal
stock up	acumular
stock up	acaparar
stick up for	defender a
stick up for	defender
stick up for	sacar la cara por
stick up for	dar la cara por
stick with	seguir a rajatabla
stick with	apegar se a
stick with	ceñir se a
stick with	estar con
stick with	permanecer con
stick with	estar al lado de
stick with	permanecer al lado de
stir up	suscitar
stock up on	aprovisionar se de
stock up on	surtir se de
stock up on	abastecer se de
stop over	hacer noche
stop over	hacer escala
storm out	salir hecho una furia
sum up	resumir
switch off	apagar
switch off	desenchufar se
switch off	desconectar se
switch on	prender
switch on	encender
tail off	apagar se
tail off	remitir
tail off	ir disminuyendo
take after	parecer se a
take after	asemejar se a
take after	salir a
take after	perseguir
take apart	desmontar
take apart	desarmar
take apart	deshacer
take aside	llevar aparte a
take aside	apartar a
take away	quitar
take away	requisar
take away	confiscar
take away	sacar
take away	llevar se
take back	retirar
take back	retractar se de
take back	recuperar
take back	recobrar
take back	reclamar
take back	readmitir
take care	tener cuidado
take down	desmontar
take down	desmantelar
take down	anotar
take for	tomar por
take for	tomar como
take for	confundir con
take in	internalizar
take in	pillar
take in	pescar
take in	asimilar
take in	enterar se
take in	ajustar
take in	estrechar
take in	tomar
take off	quitar
take off	quitar se
take off	sacar
take off	sacar se
take off	despegar
take on	enfrentar se a
take on	hacer se cargo de
take on	competir con
take on	contratar a
take out on	desquitar se con
take out	salir con
take out	invitar a salir
take out	sacar
take out	arrebatar
take out	extraer
take out	comprar
take out	adquirir
take over	encargar se de
take over	ocupar se de
take over	relevar
take to	acoplar se a
take to	encariñar se con
take to	aficionar se a
take to	dar por
take up	empezar a hacer
take up	comenzar
take up	iniciar
take up	emprender
take up	aceptar
take up	absorber
take up	acaparar
take up	involucrar
take up	comprometer
take up	requerir
take up	ocupar
take up subir	
take up with	juntar se con
take upon	encargarse de
talk back	contestar
talk back	ser impertinente con
talk back	ser insolente con
talk down to	tratar con paternalismo a
talk into	convencer a
talk into	persuadir a
talk into	convencer de
talk into	persuadir de
talk out of	disuadir a
talk out of	convencer a
talk out of	desaconsejar a
