account	justificar
build upon	construir sobre
bump into	dar se contra
bump into	chocar contra
bump into	chocar con
bump into	encontrar se con
bump into	tropezar con
bump into	topar se con
burn down	incendiar
burn down	quemar se
burn down	arder
burn down	consumir
burn down	derrumbar
burn away	consumir
burn away	arder
burn away	quemar
burn away	incendiar se
burn away	incendiar
burn out	consumir se
burn out	quemar se
burn out	apagar se
burn out	agotar se
burn up	arder de fiebre
burn up	poner se furioso
butt in	entrometer se
butt into	meter se en
butter up	dorar la píldora a
butter up	suavizar
butter up	endulzar
buy up	acaparar
buy up	acopiar
call around	llamar por ahí
call at	parar en
call at	hacer escala en
call back	devolver la llamada a
call down	regañar a
call for	exigir
call for	requerir
call for	pronosticar
call in	hacer pasar a
call off	cancelar
call off	suspender
call on	apelar a
call on	recurrir a
call on	visitar  
call on	visitar a
call out	gritar a
call out	gritar
call out	convocar a 
call out	desafiar a
call out	retar a
call over	invitar a
call up	telefonear a
call up	llamar a
call up	reclutar a
call up	reclutar 
call upon	recurrir
call upon	recurrir a
calm down	calmar se
calm down	calmar
calm down	apaciguar a
calm down	apaciguar
calm down	sosegar
care for	adorar
care for	cuidar de
care for	ocupar se de
carry along	traer a
carry along	traer 
carry along	llevar a   
carry along	llevar
carry off	llevar se
carry off	robar
carry off	secuestrar a
carry off	llevar se
carry off	lograr
carry on	continuar
carry on	proseguir
carry on with	continuar con
carry out	realizar
carry out	hacer
carry out	cumplir con
carry out	completar
carry out	llevar a cabo
catch on	captar
catch on	pillar
catch on	comprender
catch on	entender
catch on	agarrar a
catch on	agarrar
catch on	pescar
catch up	alcanzar a
catch up	alcanzar
catch up	poner se al día
catch up with	alcanzar
catch up with	alcanzar a
catch up with 	pasar factura a
catch up with	pillar a
catch up with	pillar
catch up with	atrapar a
catch up with	atrapar
catch up with	capturar a
catch up with	capturar
catch up with	reencontrar se
catch up with on	poner se al día con
cater to	satisfacer
cater to	satisfacer a
cater to	atender
cater to	atender a
cater to	abastecer
cater to	abastecer a
cater to	complacer
cater to	beneficiar a
cater to	complacer a
change into	transformar se en
change into	convertir se en
change into	poner se
change over to	cambiar a
charge for	pedir dinero por
charge for	cobrar
chase up	hacer un seguimiento
chat up	camelar
chat up	camelar a
cheat at	hacer trampa en
cheat on	hacer trampa
cheat on	hacer trampa a
cheat on	engañar
cheat on	engañar a
check in	registrar
check in	registrar se
check in	facturar
check in	reportar se a
check in with	poner se en contacto con
check in with	contactar con
check into	registrar se
check into	verificar
check on	chequear
check on	chequear a
check on	controlar
check on	controlar a
check on	comprobar
check on	verificar
check out	verificar
check out	comprobar
check out	investigar
check out	fijar se en
check out	sacar
check out	salir de
check out	morir se
check out	ir se al otro barrio
check through	despachar
check through	facturar
cheer on	alentar
cheer on	alentar a
cheer on	animar
cheer on	animar a
cheer on	vitorear a
cheer up	alegrar
cheer up	alegrar a
cheer up	animar
cheer up	animar a
cheer up	alegrar se
chip in	intervenir
chip in	interrumpir
chip in	poner dinero para
chip in	poner
chip in	aportar
chip in	contribuir con
chop down	cortar
chop down	talar
chop up	picar
clean out	limpiar
clean out	ordenar
clean out	dar cuenta de
clean out	dejar sin nada
clean out	dejar sin nada  a
clean out	limpiar
clean out	vaciar
clean up 	limpiar
clean up	reformar
clear away	organizar
clear off	marchar se
clear out	vaciar
clear up	aclarar
clear up	limpiar
clear up	resolver
clear up	explicar
clear up	desaparecer
clear up	mejorar
clear up	despejar
climb up	escalar
climb up	ascender
climb up	subir se a
climb up	trepar a
close down	cerrar
close down	clausurar
come about	suceder
come about	ocurrir
come about	acontecer
come about	virar
come across	topar se con
come across	encontrar se con
come across	cruzar se con
come across	dar la impresión de ser
come across	parecer
come across with	soltar
come after	seguir
come after	seguir a
come after	perseguir
come after	perseguir a
come after	ir detrás de
come after	llegar después de
come after	producir se después de
come along	progresar
come along	llegar
come along	aparecer
come along	presentar se
come along	acompañar a
come along	venir
come apart	deshacer se
come apart	desarmar se
come apart	desprender se
come around	volver
come around	dejar se convencer
come around	poner se de acuerdo
come around	dejar se caer por
come around	venir
come back	volver
come back	regresar
come down	bajar
come down	descender
come down	venir se abajo
come down	desmoronar se
come down	derrumbar se
come down on	caer encima de
come down to	depender de
come down with	contraer
come down with	coger
come forward	presentar se
come forward	ofrecer se
come forward	poner se a disposición de
come from	proceder de
come from 	provenir de
come from 	venir de
come in	entrar
come in	llegar
come into	meter se
come into	acceder a
come into	entrar en
come into	poner se de
come into being	nacer
come of	resultar
come of	resultar de
come of age	llegar a mayoría de edad
come off	graduar se
come off	suceder
come off	tener lugar
come off	quitar se de
come off	separar se de
come onto	coquetear con
come onto	ligar con
come on to	pasar a
come out	salir
come out	salir de
come out	aparecer
come out	declarar se
come out	publicar se
come out	presentar se
come out	estrenar se
come out	divulgar se
come out	filtrar se
come out of	salir de
come out of	descontar se
come out of	provenir de
come out of	sacar de
come out of	surgir de
come over	venir se
come over	pasar se
come over	invadir
come through	notar se
come through	manifestar se
come through	lograr
come through	conseguir
come through	superar
come to	volver en sí
come to	alcanzar
come to	llegar
come to	llegar a
come up	salir
come up	surgir
come up	levantar se
come up	pasar
come up	subir a
come up	elevar se
come up	acercar se
come up	acercar se a
come up against	tropezar se con
come up against	topar se con
come up against	competir contra
